id,name,time,other names,类型
A636,机动战士高达00,['2007年10月6日'],['机动战士高达OO'],"['科幻', '机战', '战斗']"
A637,父与女,none,['岸辺のふたり'],['治愈']
A638,剧场版 为美好的世界献上祝福！红传说,none,none,"['搞笑', '后宫', '奇幻', '穿越', '战斗']"
A639,鲁邦三世 第一期,['1971年10月24日'],['Lupin the Third TV'],['搞笑']
A640,借东西的小人阿丽埃蒂,none,['The Borrower Arrietty'],"['治愈', '奇幻', '恋爱']"
A641,人形电脑天使心,['2002年4月2日'],['Chobits'],"['治愈', '恋爱', '科幻', '搞笑', '萌']"
A642,星界的战旗,['2000年4月14日'],none,['科幻']
A643,现视研 OVA,none,none,"['校园', '日常', '搞笑', '青春']"
A644,夏目友人帐 曾几何时下雪之日,none,['夏目友人帳 OVA'],"['治愈', '奇幻', '日常']"
A645,天才麻将少女,['2009年4月5日'],['天麻'],"['百合', '萌', '热血', '校园']"
A646,来自深渊 漂泊之黄昏,none,['来自深渊 漂泊的黄昏'],"['奇幻', '冒险', '战斗', '猎奇', '治愈']"
A647,迷糊餐厅,['2010年4月4日'],['WORKING!!无聊西餐厅'],"['搞笑', '欢乐', '萌', '日常', '恋爱', '治愈']"
A648,向山进发 回忆的礼物,none,['向山进发 OVA'],"['百合', '治愈', '日常', '萌']"
A649,超时空要塞7,['1994年10月16日'],['Macross 7'],"['热血', '机战', '科幻']"
A650,妄想学生会 OAD,none,none,"['搞笑', '校园', '后宫', '日常']"
A651,怪 ～ayakashi ～,['2006年1月12日'],['あやかし'],['奇幻']
A652,宇宙战舰大和号2199 第六章「到达！大麦哲伦」,none,['宇宙战舰大和号2199 第六章'],['科幻']
A653,世界第一初恋2,['2011年10月7日'],['世界一初恋 2期'],"['BL', '耽美', '治愈']"
A654,科拉传奇 第三季：易,['2014-06-27'],['寇拉传奇 三：改易篇'],"['奇幻', '动作', '科幻', '战斗', '热血', '冒险']"
A655,编舟记,['2016年10月13日'],['启航吧！编舟计划'],"['职场', '治愈', '日常', '励志']"
A656,恶魔阿萨谢尔在召唤你Z,['2013年4月6日'],"['Yondemasuyo, Azazel-san.Z']",['搞笑']
A657,摇曳百合,['2011年7月4日'],['轻松百合'],"['百合', '搞笑', '日常', '校园', '萌', '治愈']"
A658,飞翔的魔女,['2016年4月9日'],['Flying Witch'],"['日常', '治愈', '搞笑', '奇幻', '萌']"
A659,企鹅公路,none,['企鹅高速公路'],"['奇幻', '冒险', '青春', '治愈', '日常', '科幻']"
A660,岁月的童话,none,['兒時的點點滴滴'],"['治愈', '催泪']"
A661,RAINBOW 少年犯之七人,['2010年4月6日'],['RAINBOW 二舍六房的七人'],"['励志', '热血']"
A662,花开伊吕波 HOME SWEET HOME,none,['花开物语 剧场版'],"['励志', '治愈', '青春', '日常', '恋爱', '百合']"
A663,第三届东方M-1漫才大赛,none,none,"['搞笑', '奇幻']"
A664,翼·年代记 东京默示录,none,none,"['奇幻', '穿越']"
A665,壳中少女 压缩,none,['Mardock Scramble The First Compression'],"['科幻', '战斗']"
A666,CLANNAD ～AFTER STORY～另一个世界 杏篇,none,none,"['催泪', '校园', '治愈', '恋爱', '爱情']"
A667,探险活宝 第七季,['2015-11-02'],['探險活寶'],"['搞笑', '动作']"
A668,卫宫家今天的饭,['2017年12月31日'],['卫宫饭'],"['美食', '日常', '治愈']"
A669,ReLIFE,['2016年7月1日'],['リライフ'],"['恋爱', '校园', '青春', '治愈', '日常', '搞笑', '科幻', '穿越', '奇幻']"
